Gene,Gene description,Concentration
DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,160 ng/L
CLCA4,Chloride channel accessory 4,150 ng/L
MGLL,Monoglyceride lipase,150 ng/L
TPD52,Tumor protein D52,150 ng/L
SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",150 ng/L
ME2,Malic enzyme 2,150 ng/L
CAD,"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",150 ng/L
SIGLEC1,Sialic acid binding Ig like lectin 1,150 ng/L
DDX17,DEAD-box helicase 17,150 ng/L
PSMD10,"Proteasome 26S subunit, non-ATPase 10",150 ng/L
SMC3,Structural maintenance of chromosomes 3,150 ng/L
CALCA,Calcitonin related polypeptide alpha,150 ng/L
GCG,Glucagon,150 ng/L
PPP6C,Protein phosphatase 6 catalytic subunit,150 ng/L
IDUA,Alpha-L-iduronidase,150 ng/L
RPL27,Ribosomal protein L27,150 ng/L
CEMIP2,Cell migration inducing hyaluronidase 2,150 ng/L
NIBAN1,Niban apoptosis regulator 1,150 ng/L
GLCE,Glucuronic acid epimerase,150 ng/L
IFNAR1,Interferon alpha and beta receptor subunit 1,150 ng/L
ANGPT1,Angiopoietin 1,150 ng/L
JAM2,Junctional adhesion molecule 2,150 ng/L
PKDCC,"Protein kinase domain containing, cytoplasmic",150 ng/L
ABCE1,ATP binding cassette subfamily E member 1,150 ng/L
CA4,Carbonic anhydrase 4,150 ng/L
PC,Pyruvate carboxylase,150 ng/L
PSMD1,"Proteasome 26S subunit, non-ATPase 1",150 ng/L
FLII,FLII actin remodeling protein,150 ng/L
SSR4,Signal sequence receptor subunit 4,150 ng/L
COPS8,COP9 signalosome subunit 8,150 ng/L
RCSD1,RCSD domain containing 1,150 ng/L
SELENOM,Selenoprotein M,150 ng/L
ASPRV1,Aspartic peptidase retroviral like 1,150 ng/L
CD74,CD74 molecule,140 ng/L
LAMC2,Laminin subunit gamma 2,140 ng/L
SLK,STE20 like kinase,140 ng/L
SLC25A3,Solute carrier family 25 member 3,140 ng/L
TNPO1,Transportin 1,140 ng/L
RBBP7,"RB binding protein 7, chromatin remodeling factor",140 ng/L
FGF21,Fibroblast growth factor 21,140 ng/L
CARS1,Cysteinyl-tRNA synthetase 1,140 ng/L
PCCB,Propionyl-CoA carboxylase subunit beta,140 ng/L
ITGA4,Integrin subunit alpha 4,140 ng/L
GALE,UDP-galactose-4-epimerase,140 ng/L
HSD11B1,Hydroxysteroid 11-beta dehydrogenase 1,140 ng/L
PPL,Periplakin,140 ng/L
CSRP3,Cysteine and glycine rich protein 3,140 ng/L
SNRPA1,Small nuclear ribonucleoprotein polypeptide A',140 ng/L
NASP,Nuclear autoantigenic sperm protein,140 ng/L
EIF2S1,Eukaryotic translation initiation factor 2 subunit alpha,140 ng/L
LRPPRC,Leucine rich pentatricopeptide repeat containing,140 ng/L
COX17,Cytochrome c oxidase copper chaperone COX17,140 ng/L
SRP14,Signal recognition particle 14,140 ng/L
DOK3,Docking protein 3,140 ng/L
SAR1B,Secretion associated Ras related GTPase 1B,140 ng/L
TNIK,TRAF2 and NCK interacting kinase,140 ng/L
ELOC,Elongin C,140 ng/L
CNST,"Consortin, connexin sorting protein",140 ng/L
MVD,Mevalonate diphosphate decarboxylase,140 ng/L
CD320,CD320 molecule,140 ng/L
INSR,Insulin receptor,140 ng/L
EPHB3,EPH receptor B3,140 ng/L
FAM3B,FAM3 metabolism regulating signaling molecule B,140 ng/L
SLC39A10,Solute carrier family 39 member 10,140 ng/L
IFI30,IFI30 lysosomal thiol reductase,140 ng/L
ERVW-1,"Endogenous retrovirus group W member 1, envelope",140 ng/L
RIF1,Replication timing regulatory factor 1,130 ng/L
OSTM1,Osteoclastogenesis associated transmembrane protein 1,130 ng/L
ANGPT2,Angiopoietin 2,130 ng/L
ARCN1,Archain 1,130 ng/L
ERH,ERH mRNA splicing and mitosis factor,130 ng/L
GMPR2,Guanosine monophosphate reductase 2,130 ng/L
DECR1,"2,4-dienoyl-CoA reductase 1",130 ng/L
RPL19,Ribosomal protein L19,130 ng/L
EFTUD2,Elongation factor Tu GTP binding domain containing 2,130 ng/L
VPS29,VPS29 retromer complex component,130 ng/L
TFG,Trafficking from ER to golgi regulator,130 ng/L
HTRA2,HtrA serine peptidase 2,130 ng/L
SNX9,Sorting nexin 9,130 ng/L
ITGA11,Integrin subunit alpha 11,130 ng/L
PURB,Purine rich element binding protein B,130 ng/L
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",130 ng/L
ACOX1,Acyl-CoA oxidase 1,130 ng/L
DEFA6,Defensin alpha 6,130 ng/L
SGSH,N-sulfoglucosamine sulfohydrolase,130 ng/L
DCC,DCC netrin 1 receptor,130 ng/L
HEPACAM2,HEPACAM family member 2,130 ng/L
TPK1,Thiamin pyrophosphokinase 1,130 ng/L
MMP1,Matrix metallopeptidase 1,130 ng/L
SPN,Sialophorin,130 ng/L
LSM2,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated",130 ng/L
PHB2,Prohibitin 2,130 ng/L
CA11,Carbonic anhydrase 11,120 ng/L
DAPP1,Dual adaptor of phosphotyrosine and 3-phosphoinositides 1,120 ng/L
CSNK2A2,Casein kinase 2 alpha 2,120 ng/L
HBQ1,Hemoglobin subunit theta 1,120 ng/L
PRTFDC1,Phosphoribosyl transferase domain containing 1,120 ng/L
SMS,Spermine synthase,120 ng/L
FLT1,Fms related receptor tyrosine kinase 1,120 ng/L
TSC22D1,TSC22 domain family member 1,120 ng/L
EIF3J,Eukaryotic translation initiation factor 3 subunit J,120 ng/L
TFPI2,Tissue factor pathway inhibitor 2,120 ng/L
PSMD11,"Proteasome 26S subunit, non-ATPase 11",120 ng/L
RPS13,Ribosomal protein S13,120 ng/L
COPZ1,COPI coat complex subunit zeta 1,120 ng/L
RAB5B,"RAB5B, member RAS oncogene family",120 ng/L
AMPD2,Adenosine monophosphate deaminase 2,120 ng/L
AGMAT,Agmatinase,120 ng/L
P4HA1,Prolyl 4-hydroxylase subunit alpha 1,120 ng/L
SBDS,SBDS ribosome maturation factor,120 ng/L
CHMP2A,Charged multivesicular body protein 2A,120 ng/L
FLOT2,Flotillin 2,120 ng/L
RPS15A,Ribosomal protein S15a,120 ng/L
COX5B,Cytochrome c oxidase subunit 5B,120 ng/L
BTF3,Basic transcription factor 3,120 ng/L
ZNF185,Zinc finger protein 185 with LIM domain,120 ng/L
DOK2,Docking protein 2,120 ng/L
ADD3,Adducin 3,120 ng/L
EIF4E,Eukaryotic translation initiation factor 4E,120 ng/L
GFRA1,GDNF family receptor alpha 1,120 ng/L
CLSTN2,Calsyntenin 2,120 ng/L
AMDHD2,Amidohydrolase domain containing 2,120 ng/L
HPGDS,Hematopoietic prostaglandin D synthase,120 ng/L
PBXIP1,PBX homeobox interacting protein 1,120 ng/L
GYG1,Glycogenin 1,120 ng/L
NELL1,Neural EGFL like 1,120 ng/L
CDH16,Cadherin 16,120 ng/L
HDHD2,Haloacid dehalogenase like hydrolase domain containing 2,120 ng/L
RPL13,Ribosomal protein L13,120 ng/L
TBC1D10B,TBC1 domain family member 10B,120 ng/L
LGALS4,Galectin 4,120 ng/L
SUCLG2,Succinate-CoA ligase GDP-forming subunit beta,120 ng/L
PITPNA,Phosphatidylinositol transfer protein alpha,120 ng/L
EIF3F,Eukaryotic translation initiation factor 3 subunit F,120 ng/L
HTT,Huntingtin,120 ng/L
RPE,Ribulose-5-phosphate-3-epimerase,120 ng/L
TAX1BP3,Tax1 binding protein 3,120 ng/L
ATP5PO,ATP synthase peripheral stalk subunit OSCP,120 ng/L
ADAM22,ADAM metallopeptidase domain 22,110 ng/L
ISOC2,Isochorismatase domain containing 2,110 ng/L
TTC38,Tetratricopeptide repeat domain 38,110 ng/L
TM9SF3,Transmembrane 9 superfamily member 3,110 ng/L
ITGB5,Integrin subunit beta 5,110 ng/L
ATP5F1D,ATP synthase F1 subunit delta,110 ng/L
UBE2I,Ubiquitin conjugating enzyme E2 I,110 ng/L
NDRG1,N-myc downstream regulated 1,110 ng/L
GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,110 ng/L
NNT,Nicotinamide nucleotide transhydrogenase,110 ng/L
SUB1,SUB1 regulator of transcription,110 ng/L
ATP5PB,ATP synthase peripheral stalk-membrane subunit b,110 ng/L
CTH,Cystathionine gamma-lyase,110 ng/L
PAEP,Progestagen associated endometrial protein,110 ng/L
MAP2K2,Mitogen-activated protein kinase kinase 2,110 ng/L
SGCE,Sarcoglycan epsilon,110 ng/L
GLUL,Glutamate-ammonia ligase,110 ng/L
TOR1B,Torsin family 1 member B,110 ng/L
TMOD1,Tropomodulin 1,110 ng/L
PPM1B,"Protein phosphatase, Mg2+/Mn2+ dependent 1B",110 ng/L
PPP3CA,Protein phosphatase 3 catalytic subunit alpha,110 ng/L
CD27,CD27 molecule,110 ng/L
DENR,Density regulated re-initiation and release factor,110 ng/L
HAPLN3,Hyaluronan and proteoglycan link protein 3,110 ng/L
ASGR1,Asialoglycoprotein receptor 1,110 ng/L
CRABP2,Cellular retinoic acid binding protein 2,110 ng/L
DSPP,Dentin sialophosphoprotein,110 ng/L
TNFRSF14,TNF receptor superfamily member 14,110 ng/L
NAE1,NEDD8 activating enzyme E1 subunit 1,110 ng/L
PRKCD,Protein kinase C delta,110 ng/L
ARF6,ADP ribosylation factor 6,110 ng/L
RRM1,Ribonucleotide reductase catalytic subunit M1,110 ng/L
AHCYL1,Adenosylhomocysteinase like 1,110 ng/L
EIF1,Eukaryotic translation initiation factor 1,110 ng/L
TMEM132E,Transmembrane protein 132E,110 ng/L
ATP6AP2,ATPase H+ transporting accessory protein 2,110 ng/L
S100A3,S100 calcium binding protein A3,110 ng/L
ASPDH,Aspartate dehydrogenase domain containing,110 ng/L
LAT,Linker for activation of T cells,110 ng/L
TNFSF12,TNF superfamily member 12,110 ng/L
PLEKHO2,Pleckstrin homology domain containing O2,110 ng/L
SEC22B,"SEC22 homolog B, vesicle trafficking protein",110 ng/L
CD6,CD6 molecule,100 ng/L
CAMK2A,Calcium/calmodulin dependent protein kinase II alpha,100 ng/L
CPOX,Coproporphyrinogen oxidase,100 ng/L
FAT2,FAT atypical cadherin 2,100 ng/L
LRRFIP2,LRR binding FLII interacting protein 2,100 ng/L
ELOB,Elongin B,100 ng/L
SIGLEC6,Sialic acid binding Ig like lectin 6,100 ng/L
EIF3A,Eukaryotic translation initiation factor 3 subunit A,100 ng/L
COPS7A,COP9 signalosome subunit 7A,100 ng/L
HEATR1,HEAT repeat containing 1,100 ng/L
SMU1,SMU1 DNA replication regulator and spliceosomal factor,100 ng/L
RRAS,RAS related,100 ng/L
IMMT,Inner membrane mitochondrial protein,100 ng/L
DDC,Dopa decarboxylase,100 ng/L
DSG3,Desmoglein 3,100 ng/L
HINT2,Histidine triad nucleotide binding protein 2,100 ng/L
RAB5A,"RAB5A, member RAS oncogene family",100 ng/L
FAM177A1,Family with sequence similarity 177 member A1,100 ng/L
GPD1L,Glycerol-3-phosphate dehydrogenase 1 like,100 ng/L
KALRN,Kalirin RhoGEF kinase,100 ng/L
NCSTN,Nicastrin,100 ng/L
TMED10,Transmembrane p24 trafficking protein 10,100 ng/L
NDNF,Neuron derived neurotrophic factor,100 ng/L
PTPN11,Protein tyrosine phosphatase non-receptor type 11,100 ng/L
COPB2,COPI coat complex subunit beta 2,100 ng/L
KPNA4,Karyopherin subunit alpha 4,100 ng/L
IPO9,Importin 9,100 ng/L
PSMD7,"Proteasome 26S subunit, non-ATPase 7",99 ng/L
SLAIN2,SLAIN motif family member 2,99 ng/L
CADM2,Cell adhesion molecule 2,99 ng/L
CIRBP,Cold inducible RNA binding protein,98 ng/L
SF3B1,Splicing factor 3b subunit 1,98 ng/L
C9orf40,Chromosome 9 open reading frame 40,98 ng/L
SPINK7,Serine peptidase inhibitor Kazal type 7,98 ng/L
IFI35,Interferon induced protein 35,97 ng/L
COPE,COPI coat complex subunit epsilon,97 ng/L
GUK1,Guanylate kinase 1,97 ng/L
SCRG1,Stimulator of chondrogenesis 1,97 ng/L
NT5DC1,5'-nucleotidase domain containing 1,97 ng/L
IARS1,Isoleucyl-tRNA synthetase 1,97 ng/L
S100A2,S100 calcium binding protein A2,97 ng/L
VARS1,Valyl-tRNA synthetase 1,97 ng/L
DGCR2,DiGeorge syndrome critical region gene 2,96 ng/L
HSPB11,Heat shock protein family B (small) member 11,96 ng/L
EMD,Emerin,96 ng/L
GBP1,Guanylate binding protein 1,96 ng/L
PRUNE1,Prune exopolyphosphatase 1,96 ng/L
PSMD6,"Proteasome 26S subunit, non-ATPase 6",96 ng/L
KIF5B,Kinesin family member 5B,96 ng/L
DNAJA1,DnaJ heat shock protein family (Hsp40) member A1,95 ng/L
RPS19,Ribosomal protein S19,95 ng/L
SPR,Sepiapterin reductase,95 ng/L
PIN1,"Peptidylprolyl cis/trans isomerase, NIMA-interacting 1",95 ng/L
HMGA1,High mobility group AT-hook 1,95 ng/L
SRSF2,Serine and arginine rich splicing factor 2,95 ng/L
MLN,Motilin,94 ng/L
CD86,CD86 molecule,94 ng/L
TXNDC12,Thioredoxin domain containing 12,94 ng/L
VAPB,VAMP associated protein B and C,94 ng/L
PCNA,Proliferating cell nuclear antigen,94 ng/L
HK2,Hexokinase 2,94 ng/L
AGR3,"Anterior gradient 3, protein disulphide isomerase family member",94 ng/L
NEB,Nebulin,94 ng/L
CD302,CD302 molecule,94 ng/L
ETFB,Electron transfer flavoprotein subunit beta,93 ng/L
PPIL1,Peptidylprolyl isomerase like 1,93 ng/L
RALB,RAS like proto-oncogene B,93 ng/L
PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,93 ng/L
HS6ST3,Heparan sulfate 6-O-sulfotransferase 3,93 ng/L
FERMT2,FERM domain containing kindlin 2,92 ng/L
PPP3CB,Protein phosphatase 3 catalytic subunit beta,92 ng/L
PANX1,Pannexin 1,92 ng/L
APPL2,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",92 ng/L
SSB,Small RNA binding exonuclease protection factor La,92 ng/L
PRRT3,Proline rich transmembrane protein 3,92 ng/L
GGT6,Gamma-glutamyltransferase 6,92 ng/L
CA13,Carbonic anhydrase 13,92 ng/L
RPS20,Ribosomal protein S20,91 ng/L
DNM1,Dynamin 1,91 ng/L
IL6,Interleukin 6,91 ng/L
PRPSAP2,Phosphoribosyl pyrophosphate synthetase associated protein 2,91 ng/L
NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,91 ng/L
CTPS1,CTP synthase 1,91 ng/L
AGER,Advanced glycosylation end-product specific receptor,91 ng/L
HRC,Histidine rich calcium binding protein,90 ng/L
TRIM28,Tripartite motif containing 28,90 ng/L
SURF4,Surfeit 4,90 ng/L
CYC1,Cytochrome c1,90 ng/L
OGDH,Oxoglutarate dehydrogenase,89 ng/L
SEC14L4,SEC14 like lipid binding 4,89 ng/L
EIF3M,Eukaryotic translation initiation factor 3 subunit M,89 ng/L
AP1G1,Adaptor related protein complex 1 subunit gamma 1,89 ng/L
COPS6,COP9 signalosome subunit 6,89 ng/L
CRYM,Crystallin mu,88 ng/L
MMUT,Methylmalonyl-CoA mutase,88 ng/L
EIF5B,Eukaryotic translation initiation factor 5B,88 ng/L
PGM2L1,Phosphoglucomutase 2 like 1,88 ng/L
ATP5ME,ATP synthase membrane subunit e,88 ng/L
DAP,Death associated protein,87 ng/L
NUMA1,Nuclear mitotic apparatus protein 1,87 ng/L
STAT3,Signal transducer and activator of transcription 3,87 ng/L
PPP1R14B,Protein phosphatase 1 regulatory inhibitor subunit 14B,87 ng/L
HHIPL1,HHIP like 1,87 ng/L
PDXP,Pyridoxal phosphatase,87 ng/L
MAP1B,Microtubule associated protein 1B,86 ng/L
CSN2,Casein beta,86 ng/L
FKBP10,FKBP prolyl isomerase 10,86 ng/L
CRIM1,Cysteine rich transmembrane BMP regulator 1,86 ng/L
SGTA,Small glutamine rich tetratricopeptide repeat co-chaperone alpha,85 ng/L
RARS1,Arginyl-tRNA synthetase 1,85 ng/L
ATP1B2,ATPase Na+/K+ transporting subunit beta 2,85 ng/L
CBR4,Carbonyl reductase 4,85 ng/L
MGMT,O-6-methylguanine-DNA methyltransferase,85 ng/L
DLST,Dihydrolipoamide S-succinyltransferase,84 ng/L
SNRPC,Small nuclear ribonucleoprotein polypeptide C,84 ng/L
RPS24,Ribosomal protein S24,84 ng/L
PLPBP,Pyridoxal phosphate binding protein,84 ng/L
MAP2K1,Mitogen-activated protein kinase kinase 1,84 ng/L
SVIL,Supervillin,84 ng/L
ACADVL,Acyl-CoA dehydrogenase very long chain,83 ng/L
TXN2,Thioredoxin 2,83 ng/L
CHMP4B,Charged multivesicular body protein 4B,83 ng/L
PLP1,Proteolipid protein 1,82 ng/L
CAB39,Calcium binding protein 39,82 ng/L
ATG3,Autophagy related 3,82 ng/L
PMVK,Phosphomevalonate kinase,82 ng/L
GAL,Galanin and GMAP prepropeptide,81 ng/L
AHSA1,Activator of HSP90 ATPase activity 1,81 ng/L
PRKAR2A,Protein kinase cAMP-dependent type II regulatory subunit alpha,81 ng/L
PGAP6,Post-GPI attachment to proteins 6,81 ng/L
LY6D,Lymphocyte antigen 6 family member D,81 ng/L
GAST,Gastrin,81 ng/L
CAPNS2,Calpain small subunit 2,81 ng/L
LY96,Lymphocyte antigen 96,80 ng/L
CXCL17,C-X-C motif chemokine ligand 17,80 ng/L
CHORDC1,Cysteine and histidine rich domain containing 1,79 ng/L
ST6GALNAC5,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",79 ng/L
FLOT1,Flotillin 1,79 ng/L
PSMD4,"Proteasome 26S subunit ubiquitin receptor, non-ATPase 4",79 ng/L
PGRMC2,Progesterone receptor membrane component 2,79 ng/L
RPS21,Ribosomal protein S21,79 ng/L
KLRK1,Killer cell lectin like receptor K1,79 ng/L
VAMP8,Vesicle associated membrane protein 8,78 ng/L
CYP3A4,Cytochrome P450 family 3 subfamily A member 4,78 ng/L
SNRPE,Small nuclear ribonucleoprotein polypeptide E,78 ng/L
CYB5B,Cytochrome b5 type B,77 ng/L
NCALD,Neurocalcin delta,77 ng/L
RPS10,Ribosomal protein S10,77 ng/L
GGACT,Gamma-glutamylamine cyclotransferase,77 ng/L
PROSER2,Proline and serine rich 2,77 ng/L
EXTL1,Exostosin like glycosyltransferase 1,77 ng/L
NDST2,N-deacetylase and N-sulfotransferase 2,77 ng/L
PLIN4,Perilipin 4,77 ng/L
PDGFD,Platelet derived growth factor D,77 ng/L
QARS1,Glutaminyl-tRNA synthetase 1,77 ng/L
PPIL3,Peptidylprolyl isomerase like 3,77 ng/L
NUDT3,Nudix hydrolase 3,77 ng/L
PPA2,Inorganic pyrophosphatase 2,76 ng/L
SEMA3D,Semaphorin 3D,76 ng/L
TSC22D4,TSC22 domain family member 4,76 ng/L
BRK1,BRICK1 subunit of SCAR/WAVE actin nucleating complex,76 ng/L
MTCH2,Mitochondrial carrier 2,75 ng/L
RPL23,Ribosomal protein L23,75 ng/L
ECHDC3,Enoyl-CoA hydratase domain containing 3,75 ng/L
FEN1,Flap structure-specific endonuclease 1,75 ng/L
BCAP31,B cell receptor associated protein 31,75 ng/L
RBM3,RNA binding motif protein 3,74 ng/L
RPS25,Ribosomal protein S25,74 ng/L
MATN4,Matrilin 4,74 ng/L
NARS1,Asparaginyl-tRNA synthetase 1,74 ng/L
PLXNC1,Plexin C1,74 ng/L
FURIN,"Furin, paired basic amino acid cleaving enzyme",74 ng/L
SQSTM1,Sequestosome 1,74 ng/L
STRN4,Striatin 4,73 ng/L
NIT1,Nitrilase 1,73 ng/L
CNBP,CCHC-type zinc finger nucleic acid binding protein,73 ng/L
RUVBL1,RuvB like AAA ATPase 1,73 ng/L
EDF1,Endothelial differentiation related factor 1,72 ng/L
KIAA1549L,KIAA1549 like,72 ng/L
UBE2M,Ubiquitin conjugating enzyme E2 M,72 ng/L
EPHA5,EPH receptor A5,72 ng/L
CDHR1,Cadherin related family member 1,72 ng/L
KAZALD1,Kazal type serine peptidase inhibitor domain 1,71 ng/L
STAT1,Signal transducer and activator of transcription 1,71 ng/L
PDGFC,Platelet derived growth factor C,71 ng/L
MANEA,Mannosidase endo-alpha,71 ng/L
PRPF8,Pre-mRNA processing factor 8,71 ng/L
LMNB2,Lamin B2,71 ng/L
PLP2,Proteolipid protein 2,70 ng/L
SSBP1,Single stranded DNA binding protein 1,70 ng/L
ATP6V1G1,ATPase H+ transporting V1 subunit G1,70 ng/L
USO1,USO1 vesicle transport factor,70 ng/L
SPRR3,Small proline rich protein 3,70 ng/L
GPRC5C,G protein-coupled receptor class C group 5 member C,70 ng/L
ADI1,Acireductone dioxygenase 1,70 ng/L
PSMD12,"Proteasome 26S subunit, non-ATPase 12",70 ng/L
SARNP,SAP domain containing ribonucleoprotein,70 ng/L
NUP85,Nucleoporin 85,69 ng/L
LAMTOR5,"Late endosomal/lysosomal adaptor, MAPK and MTOR activator 5",69 ng/L
ATXN2L,Ataxin 2 like,69 ng/L
HSPB7,Heat shock protein family B (small) member 7,69 ng/L
ATL3,Atlastin GTPase 3,69 ng/L
GNG2,G protein subunit gamma 2,69 ng/L
SRSF10,Serine and arginine rich splicing factor 10,69 ng/L
UROS,Uroporphyrinogen III synthase,69 ng/L
ACACA,Acetyl-CoA carboxylase alpha,69 ng/L
ITGA8,Integrin subunit alpha 8,68 ng/L
SCFD1,Sec1 family domain containing 1,68 ng/L
MCM7,Minichromosome maintenance complex component 7,68 ng/L
RNASE3,Ribonuclease A family member 3,68 ng/L
C20orf27,Chromosome 20 open reading frame 27,67 ng/L
MYCT1,MYC target 1,67 ng/L
UBA3,Ubiquitin like modifier activating enzyme 3,67 ng/L
FAM171A1,Family with sequence similarity 171 member A1,67 ng/L
COPG1,COPI coat complex subunit gamma 1,67 ng/L
PFDN5,Prefoldin subunit 5,66 ng/L
HNMT,Histamine N-methyltransferase,66 ng/L
TMSB15A,Thymosin beta 15A,66 ng/L
HMOX1,Heme oxygenase 1,65 ng/L
DHX15,DEAH-box helicase 15,65 ng/L
MYL2,Myosin light chain 2,65 ng/L
UBA2,Ubiquitin like modifier activating enzyme 2,65 ng/L
UBAC1,UBA domain containing 1,65 ng/L
INPP1,Inositol polyphosphate-1-phosphatase,65 ng/L
ADPGK,ADP dependent glucokinase,65 ng/L
NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",65 ng/L
PAIP1,Poly(A) binding protein interacting protein 1,65 ng/L
RPL38,Ribosomal protein L38,65 ng/L
HSD17B8,Hydroxysteroid 17-beta dehydrogenase 8,65 ng/L
RPS18,Ribosomal protein S18,65 ng/L
RPL31,Ribosomal protein L31,64 ng/L
RAB32,"RAB32, member RAS oncogene family",64 ng/L
TNNI2,"Troponin I2, fast skeletal type",64 ng/L
NMT1,N-myristoyltransferase 1,64 ng/L
PARP1,Poly(ADP-ribose) polymerase 1,64 ng/L
COX6C,Cytochrome c oxidase subunit 6C,64 ng/L
GPS1,G protein pathway suppressor 1,64 ng/L
PSMC5,"Proteasome 26S subunit, ATPase 5",63 ng/L
AK3,Adenylate kinase 3,63 ng/L
EFCAB14,EF-hand calcium binding domain 14,63 ng/L
RPL27A,Ribosomal protein L27a,63 ng/L
ATP5PD,ATP synthase peripheral stalk subunit d,63 ng/L
WFDC12,WAP four-disulfide core domain 12,63 ng/L
C1orf116,Chromosome 1 open reading frame 116,63 ng/L
C2orf88,Chromosome 2 open reading frame 88,63 ng/L
TOLLIP,Toll interacting protein,62 ng/L
POFUT1,Protein O-fucosyltransferase 1,62 ng/L
HDLBP,High density lipoprotein binding protein,62 ng/L
COX6B1,Cytochrome c oxidase subunit 6B1,62 ng/L
FSHB,Follicle stimulating hormone subunit beta,62 ng/L
EHBP1L1,EH domain binding protein 1 like 1,62 ng/L
C5orf46,Chromosome 5 open reading frame 46,62 ng/L
PFDN6,Prefoldin subunit 6,62 ng/L
NSUN2,NOP2/Sun RNA methyltransferase 2,61 ng/L
CTNNA1,Catenin alpha 1,61 ng/L
MCM3,Minichromosome maintenance complex component 3,61 ng/L
ITPA,Inosine triphosphatase,61 ng/L
MINDY1,MINDY lysine 48 deubiquitinase 1,61 ng/L
CLIC2,Chloride intracellular channel 2,61 ng/L
AK4,Adenylate kinase 4,61 ng/L
HJV,Hemojuvelin BMP co-receptor,61 ng/L
HIBCH,3-hydroxyisobutyryl-CoA hydrolase,61 ng/L
SACM1L,SAC1 like phosphatidylinositide phosphatase,61 ng/L
EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,60 ng/L
EIF5,Eukaryotic translation initiation factor 5,60 ng/L
PLA2G4A,Phospholipase A2 group IVA,60 ng/L
B4GALT3,"Beta-1,4-galactosyltransferase 3",60 ng/L
GP2,Glycoprotein 2,60 ng/L
RCC1,Regulator of chromosome condensation 1,60 ng/L
ENTPD4,Ectonucleoside triphosphate diphosphohydrolase 4,60 ng/L
INAFM2,InaF motif containing 2,60 ng/L
IL4R,Interleukin 4 receptor,59 ng/L
RO60,"Ro60, Y RNA binding protein",59 ng/L
KIAA0513,KIAA0513,59 ng/L
RTN1,Reticulon 1,59 ng/L
FCER1G,Fc epsilon receptor Ig,59 ng/L
IL17RA,Interleukin 17 receptor A,59 ng/L
MYADM,Myeloid associated differentiation marker,59 ng/L
IARS2,"Isoleucyl-tRNA synthetase 2, mitochondrial",58 ng/L
FOLR1,Folate receptor alpha,58 ng/L
TARDBP,TAR DNA binding protein,58 ng/L
XXYLT1,Xyloside xylosyltransferase 1,58 ng/L
ERO1A,Endoplasmic reticulum oxidoreductase 1 alpha,58 ng/L
DNM3,Dynamin 3,58 ng/L
MFN2,Mitofusin 2,57 ng/L
COPS3,COP9 signalosome subunit 3,57 ng/L
DAB2,DAB adaptor protein 2,57 ng/L
INHBB,Inhibin subunit beta B,57 ng/L
PYM1,"PYM homolog 1, exon junction complex associated factor",57 ng/L
CSNK2B,Casein kinase 2 beta,57 ng/L
FIS1,"Fission, mitochondrial 1",57 ng/L
HNRNPUL2,Heterogeneous nuclear ribonucleoprotein U like 2,57 ng/L
GTF2I,General transcription factor IIi,57 ng/L
